product_name,price
Chicken,5
Kielbasa,40
Sausage,98
Milk,88
Corn Meal,64
Potatoes,19
Rice,66
Marinara Sauce,99
Noodles,64
Sausage,82
Eggs,2
Sausage,22
Beef,18
Beef,37
Beans,2
Pork,63
Ham,85
Bacon,22
Sausage,43
Noodles,81
Milk,75
Milk,21
Cheese,26
Beef,64
Pork,77
Chicken,70
Rice,47
Turkey,16
Bacon,73
Potatoes,28
Breadcrumbs,66
Beets,39
Potatoes,78
Lentils,33
Buckwheat,63
Lentils,32
Onion,20
Carrots,57
Buckwheat,71
Lentils,65
Potatoes,74
Lentils,82
Buckwheat,84
Onion,79
Carrots,51
Lentils,27
Parsnips,38
Chocolate Chips,58
Butter,56
Buckwheat,11
Chickpeas,95
Broccoli,71
Coconut milk,74
Parsnips,27
Asparagus,56
Quinoa,43
Cabbage,19
Orzo,39
Sweet potato,57
Salmon,82
Lime,70
Tomatillo,93
Squash,40
Cilantro,37
Wine,1
Dijon Mustard,29
Ginger,54
Garlic,61
Soy Sauce,64
Flour,1
Mango,99
Tomatoes,3
celery,36
Apple,14
Spinach,40
Corn Meal,72
Quinoa,4
gnocchi,93
Spinach,79
Capers,34
Water chestnuts,3
Tuna,68
Adobo Chile,14
Basil,47
Butter,1
Kale,71
Parsley,49
Apple,89
Fish,75
Couscous,9
Tilapia,42
Pesto,42
Yogurt,66
Cucumber,11
Dill,20
Red onion,26
Prosciutto,21
Yeast,55
Brussels Sprouts,41
Sweet potato,18
Chia,62
Raisins,71
Bell Pepper,20
Jalopeno Pepper,91
